region;ind1;ind2;ind3;ind4;ind5;ind6;ind7;ind8;ind9;ind10;ind11;ind12
Алтайский край;1.54704957608042;514377.639751553;2.16183955507219;13.9917695473251;20.5374280230326;0.259410106073491;0.0664190126661594;0.61;1.39739513749093;2.41831203005589;4.89397798481712;1.07413292135066
Красноярский край;1.60634852234788;920561.543120155;2.67487483105913;7.02775290957923;14.6643109540636;0.603074100100366;0.0664725570604813;1.23;1.66518958609895;2.29352826353459;11.8707588057171;1.77326563737279
Иркутская область;5.74446883417994;973766.020408163;0.652734912435662;6.89444783404515;15.9453302961276;0.358300085461883;0.106393188642253;0.62;0.113628419141531;2.72122397514937;3.70388951530612;5.42166320061171
Кемеровская область- Кузбасс;0.186004373554868;876771.015625;0.650588550791801;7.06560922855083;14.2543859649123;0.107216957702073;0.042886783080829;0.6;3.49770566335575;1.72390872535245;16.7568246875;0.280170237698078
Новосибирская область;1.53901874232785;834314.432080004;4.89674195074091;11.0177865612648;21.9974715549937;1.53655639325419;0.351090217606636;1.86;3.18172990105001;3.51599622158184;2.75276065003186;0.910021248564166
Омская область;1.97687569838687;774604.594594595;5.74308465372767;11.1611161116112;25.9668508287293;0.437277533711734;0.031479684859346;0.73;2.90513190000465;3.93930065115683;11.1915054299754;1.65554063451564
Томская область;3.87969710818062;871191.683841715;2.41030079814541;15.1706700379267;24.5283018867925;1.91734701135708;0.401291403551755;3.1;0.621260044518196;5.83639740650794;1.6959932502061;3.27215590918119
Республика Бурятия;8.80658473783729;794053.054662379;10.2901247806291;4.39189189189189;14.5833333333333;0.236693295719479;0.105281583840926;0.5;1.16845804440145;2.02808799443607;35.6720934619507;6.37208171656691
Республика Саха (Якутия);0.353844263591278;1042823.49900596;0.0940957762791597;12.2905027932961;17.6271186440678;0.53640288015288;0.19963144963145;0.99;0.265924266580308;2.25910044923414;0.755911371769384;0.35303297786217
Забайкальский край;0.0748457751820113;728385.912240185;0.135298808252539;3.86904761904762;10.625;0.0931685705617441;0.0185046121669977;0.12;;1.91625864423823;;0.0537560239136489
Камчатский край;0.559490505700955;1302747.15840387;0.858576609770092;9.44444444444444;19.1919191919192;0.480841909413338;0.102331530902959;0.13;1.53456868529776;1.43504947497351;1.69520592503023;0.255770381330605
Приморский край;0.567313934134939;919579.41905774;2.84033117272038;7.66096169519152;21.1072664359862;0.595376185796176;0.145627791814474;0.82;5.00663037133296;2.33695135711391;4.34843715905065;0.31855988204894
Хабаровский край;6.37069961884082;869679.653102068;10.4435576160607;7.74647887323944;15.9663865546218;0.218698343640897;0.080388784086814;0.71;1.63931094556314;2.99302948479037;50.3527430953969;4.31161889217109
Амурская область;0.795823066347837;846091.289782245;0.253794894071743;6.82451253481894;9.3167701863354;0.154996897465788;0.0594544213059722;0.49;0.318908693155188;1.93556113243749;1.80270318257956;0.558871884860375
Магаданская область;0.159078285827192;1289139.16666667;0.37253928397991;8.55263157894737;21.2121212121212;0.59980506335441;0.199935021118137;0.29;2.34186131716683;1.84736994027133;2.19187583333333;0.142206723176915
Сахалинская область;3.90912492344103;1145317.26384365;0.0992061478587514;4.84848484848485;9.09090909090909;0.234860307842957;0.0359558126013648;0.16;0.0253780960705202;1.03114369096341;2.06299267100977;3.26142628833638
Еврейская автономная область;0.274747511364172;;0.222987433395972;3.95480225988701;11.5384615384615;;;0.76;;1.30690349382907;;0.140090881821405
Чукотский автономный округ;2.70077143744643;;0.360630142678616;7.47126436781609;14.9253731343284;;;0;0.133528568052242;0.200530570467696;;2.24663323929522
